Nome,URL
Imagem de cortes seriados de embrião de galinha em alta resolução,http://www.histo.ufrj.br/LIB/Lamina embriao galinha/lamina 07 embriao galinha.html
Cordão Umbilical (humano) em alta resolução,http://www.histo.ufrj.br/LIB/Lamina%2002%20GA/lam_02_GA.htm
"Imagem de Testículo em alta resolução, com baixo aumento",http://www.histo.ufrj.br/LIB/Lamina 03 GA/lam_03_GA.htm
"Imagem de mastocitoma em alta resolução, com baixo aumento",http://www.histo.ufrj.br/LIB/Lamina%2004%20Mastocitoma%205x/mastocitoma%20BD.html
Imagem do jejuno ileo em alta resolução,http://www.histo.ufrj.br/LIB/Lamina%2006%20jejuno%20ileo%205x/ileo%20jejuno%20BD.html
"Imagem do jejuno ileo em alta resolução, outra imagem",http://www.histo.ufrj.br/LIB/Lamina%2006%20GA/lam_06_GA.htm
"Imagem do jejuno ileo em alta resolução, outra imagem",http://www.histo.ufrj.br/LIB/Lamina%2006%20BA/lam_06_BA.htm
"Imagem do jejuno ileo em alta resolução, ANOTADA",http://www.histo.ufrj.br/LIB/Lamina%2006%20GA%20Anot/lam_06_GA_Anot.htm
"Imagem da articulacao cotovelo em alta resolução, com baixo aumento",http://www.histo.ufrj.br/LIB/Lamina%2007%20articulacao%20cotovelo%20BD/articulacao%20cotovelo%20BD.html
"Imagem da coluna vertebral em alta resolução, com baixo aumento",http://www.histo.ufrj.br/LIB/Lamina%2008%20coluna%20vertebral%205x/coluna%20vertebral%20BD.html
"Imagem da lingua em alta resolução, com baixo aumentoImagem da lingua em alta resolução, com alto aumentoLâmina 09 Língua  (coelho)Coloração:H/EO órgão muscular observado é a superficie ventral da língua. É recoberta por uma camada 
mucosa que apresenta um epitélio estratificado pavimentoso não queratinizado que associa-se
 a um tecido conjuntivo frouxo vascularizado. A musculatura estriada esquelética que ocupa
  grande parte da imagem apresenta fibras musculares dispostas  em três planos que se entrelaçam,
 sempre permeadas por tecido conjuntivo frouxo onde podem ser encontradas células adiposas
 e nervos. O arranjo caracteristico das fibras musculares permite o dianóstico diferencial
 da lingua.",http://www.histo.ufrj.br/LIB/Lamina 09 Lingua/lingua.html
"Imagem da lingua em alta resolução, com alto aumento",http://www.histo.ufrj.br/LIB/Lamina 09 Lingua GA/lingua.htm
Imagem do rim em alta resolução,http://www.histo.ufrj.br/LIB/Lamina 13 GA/lam_13_GA.htm
Imagem de Osso Compacto e Esponjoso em alta resolução,http://www.histo.ufrj.br/LIB/Lamina%2014%20GA/lam_14_GA.htm
"Imagem de Osso Compacto e Esponjoso em alta resolução, ANOTADA",http://www.histo.ufrj.br/LIB/Lamina%2014%20GA%20Anot/lam_14_GA_Anot.html
Imagem da Traquéia e Esôfago em alta resoluçãoLâmina 15 Traquéia e Esôfago  (gato),http://www.histo.ufrj.br/LIB/Lamina%2015%20Traqueia%20e%20Esofago%2010x/Lamina%2015.htm
"Imagem Traquéia e Esôfago em alta resolução, ANOTADA",http://www.histo.ufrj.br/LIB/Lamina%2015%20GA%20Anot/lib%20cx%2049%20lam15%20GA%20Anotado.html
Imagem da Medula Nervosa em alta resolução,http://www.histo.ufrj.br/LIB/Lamina%2016%20GA/lam_16_GA.htm
"Imagem do esofago em alta resolução, com baixo aumento",http://www.histo.ufrj.br/LIB/Lamina 18 Esofago/esofago.html
"Imagem da Testículo e Epidídimo em alta resolução, com lente de 10x",http://www.histo.ufrj.br/LIB/Lamina 19 Testiculo e Epididimio 10x/Lamina19.html
Imagem do baço em alta resolução,http://www.histo.ufrj.br/LIB/Lamina 20 GA/lam_20_GA.htm
Imagem do baço em alta resolução,http://www.histo.ufrj.br/LIB/Lamina 24 GA/lam_24_GA.htm
"Imagem de Baço em alta resolução, ANOTADA",http://www.histo.ufrj.br/LIB/Lamina%2024%20GA%20Anot/lam_24_GA_Anot.html
Imagem do pavilhão auricular em alta resolução,http://www.histo.ufrj.br/LIB/Lamina 25 GA/lam_25_GA.htm
"Imagem de pele espessa em alta resolução, com baixo aumento",http://www.histo.ufrj.br/LIB/Lamina 26 Pele espessa/lam%2026.html
Imagem da cérvice em alta resolução,http://www.histo.ufrj.br/LIB/Lamina 28 GA/lam_28_GA.htm
"Imagem de rim em alta resolução, com baixo aumento",http://www.histo.ufrj.br/LIB/Lamina%2029%20Rim%205x/rim%20BD.html
"Imagem da hipofise em alta resolução, com baixo aumento",http://www.histo.ufrj.br/LIB/Lamina%2030%20hipofise/hipofise%20BD.html
"Imagem da medula em alta resolução, com grande aumento",http://www.histo.ufrj.br/LIB/Lamina%2032%20Medula%2020x/medula%20AD.html
Imagem do baço em alta resolução,http://www.histo.ufrj.br/LIB/Lamina 34 GA/lam_34_GA.htm
Imagem do fígado em alta resolução,http://www.histo.ufrj.br/LIB/Lamina 35 GA/lam_35_GA.htm
Imagem da bexiga em alta resolução,http://www.histo.ufrj.br/LIB/Lamina 37 GA/lam_37_GA.htm
"Imagem Estomago, Piloro e Duodeno em alta resolução, com pequeno aumento","http://www.histo.ufrj.br/LIB/Lamina 38 Estomago, Piloro e Duodeno/Estomago_Piloro_Duodeno.html"
"Imagem do linfonodo em alta resolução, com baixo aumento",http://www.histo.ufrj.br/LIB/Lamina%2042%20Linfonodo%205x/linfonodo%20BD.html
Imagem de Aurículas e vasos de base em alta resolução,http://www.histo.ufrj.br/LIB/Lamina%2047%20GA/lam47_GA.html
"Imagem do em alta resolução, com baixo aumento",http://www.histo.ufrj.br/LIB/Lamina%2048%20GA/lam48_GA.html
"Imagem de pele delgada em alta resolução, com baixo aumento",http://www.histo.ufrj.br/LIB/Lamina%2049%20Pele%20delgada%205x/pele%20delgada%20BD.html
"Imagem de adrenal tireoide paratireoide em alta resolução, com baixo aumento",http://www.histo.ufrj.br/LIB/adrenal%20tireoide%20paratireoide%205x/adrenal%20tireoide%20paratireoide%20BD.html
